strategy,budget_pct,angles,ray_count,mse,ssim,hidden_iou,runtime_s
uniform_sparse,5,9,1440,0.035449910908937454,0.3197431144488424,0.15029425079221367,0.0003342069999945352
random_sparse,5,9,1440,0.043092213571071625,0.3385298221257521,0.1549694856146469,0.00028614699999707227
adaptive,5,9,1440,0.036657556891441345,0.3254845810304854,0.15804347826086956,0.23567643100000168
uniform_sparse,10,18,2880,0.012312569655478,0.3781166738395663,0.23191094619666047,6.0752999999635904e-05
random_sparse,10,18,2880,0.03047824092209339,0.39867764051782156,0.1614802354920101,5.5678999999031475e-05
adaptive,10,18,2880,0.013868224807083607,0.3831808604111874,0.20975339429204765,0.9279219900000015
uniform_sparse,20,36,5760,0.0036492031067609787,0.4858986439047746,0.4061709661102681,6.392100000596201e-05
random_sparse,20,36,5760,0.00976304616779089,0.4524386058375392,0.2518566354536648,0.0002341669999879059
adaptive,20,36,5760,0.006966487038880587,0.5024000954381863,0.2797639708434571,2.2850108780000085
uniform_sparse,40,72,11520,0.0016718592960387468,0.6519443667265996,0.6690879741727199,0.0001146829999925103
random_sparse,40,72,11520,0.0057297335006296635,0.5571610635354473,0.33263157894736844,5.686900000512196e-05
adaptive,40,72,11520,0.004633063450455666,0.662642484560781,0.34553014553014555,4.71718620499999
uniform_sparse,100,180,28800,0.0011795940808951855,0.9044340001109741,0.8922091782283885,0.00013782700000319892
random_sparse,100,180,28800,0.0011795940808951855,0.9044340001109741,0.8922091782283885,6.440999999313135e-05
adaptive,100,180,28800,0.0011795940808951855,0.9044340001109741,0.8922091782283885,11.087723377000003
dense_reference,100,180,28800,0.0011795940808951855,0.9044340001109741,0.8922091782283885,7.649999957948239e-07
